,Open,High,Low,Close,Volume,Close time
0,13.15,25.55,12.88,13.36,22553499.709,2022-04-10 23:59:59.999
1,13.36,14.48,10.73,12.02,5980614.274,2022-04-17 23:59:59.999
2,12.01,14.18,11.16,11.44,4528116.126,2022-04-24 23:59:59.999
3,11.43,11.44,7.73,9.3,3171594.176,2022-05-01 23:59:59.999
4,9.25,12.52,8.59,10.37,5335916.894,2022-05-08 23:59:59.999
5,10.37,11.43,6.71,8.47,3852020.583,2022-05-15 23:59:59.999
6,8.46,8.48,5.6,6.17,2281228.973,2022-05-22 23:59:59.999
7,6.18,6.43,4.65,4.95,1646575.944,2022-05-29 23:59:59.999
8,4.94,5.56,4.62,4.86,975396.723,2022-06-05 23:59:59.999
0,4.86,5.37,3.83,3.83,1090559.073,2022-06-12 23:59:59.999000
